Rating,Review,source,racism,bullying,sexual,predicted,predicted_proba
4,Like a small thing that's pink/ blue to show whether your m or f. That would be nice. And to all the guys out there... Put your dick back in your pants. I'm a guy but I don't creep on girls. There a thing called porn.,chat-for-strangers,,,,1.0,1.1874299775208725
2,All the guys on here ever ask for is nudes like I don't want to send my nudes to you,skout,,,,1.0,1.1594318369110153
1,To many perverts and all they ask for is nudes🙄,chat-for-strangers,,,,1.0,1.0818584142065104
1,Six 18yd men asked for nudes I’m 13,holla,,,,1.0,1.0684205306234453
2,Just a bunch of horny guys wanting nudes,holla,,,,1.0,1.0634155187608028
3,I like this app but there is so many horny guys and they are all 30 and asking for nudes,chat-for-strangers,,,,1.0,1.0361856717410016
1,"Almost all the guys on the app ask girls for nudes and if you don't send them it they'll literally get upset and unfriend you on either snapchat or yellow itself, the people on there is shallow. 🤧",holla,,,,1.0,0.9620591180226561
5,AHAHAH it’s so funny bc most guys ask for nudes and it’s DeFInEtlEy WhErE yOu FiNd YoUr SoUlMaTe,holla,,,,1.0,0.9409373815639746
1,The only thing you’re going to get on the site is fake news there is asking me to go on to another site to pay to watch their nudes,skout,,,,1.0,0.8935187789084733
1,Basically men/women asking for nudes all I wanted to do is chat with my cousin,chat-for-strangers,,,,1.0,0.8392036794786939
1,This is my least favorite dating app. It's honestly just odd men trolling for nudes. And clearly thirsty women giving them. I can't count how many times I've been asked for sexual favors on this app. And it's the first things these guys say. Mind you I have no pictures of my body posted. Something about this app attracts creepy men. Try Tinder. It's better.,skout,,,,1.0,0.8347771169621381
1,"Every guy wants nudes, or sends some without even saying hello, or asking for permission. Or they’ll ask something inappropriate. A bunch of immature teenagers with nothing better to do🤷🏻‍♀️ highly recommend another app.",skout,,,,1.0,0.8333195416100756
4,Good app to get.  If your horny the only things that they do is ask for nudes,skout,,,,1.0,0.8186956894184196
4,This app is disgusting. If you look hard enough you will find underaged girls selling their nude photos. And even worse girls are sending nudes to guys over 18 with just a few questions asked,holla,,,,1.0,0.8185620625832182
1,"There are males on here begging for phone sex. This is a wierd and perverted thing to do. IF YOUR CHILD WANTS THIS GAME, PICK ANOTHER CHOICE!!!",chat-for-strangers,,,,1.0,0.7568329000228404
1,All horny guys.,chat-for-strangers,,,,1.0,0.7257639677288956
5,All guys,holla,,,,1.0,0.7257639677288956
5,Nude nude and more nude,skout,,,,1.0,0.7211025947747625
3,This is almost like a dating app for 11-18 year Olds like the app can't even control if its the persons actual age or not there are SOOO many 11-15 year olds on this and so many of them are sending nudes or asking for nudes on there bio🙄,holla,,,,1.0,0.7139284362897582
2,wish there were hotter guys and less guys wanting sex on this site. where are the guys wit respect for women anymore smfh,skout,,,,1.0,0.6807662344397849
1,Just a bunch of guys that want to show off their privates,holla,,,,1.0,0.6783835418070825
1,"All the guys on skout are so ugly omg and half of them are fake. Old man posing as 20 year olds. Perverts everywhere. Scammers talking about do you want to make 1500 a month! SMH! This whole app is a joke. Would not recommend if you are looking for a relationship....not even a friendship. If you like sluts, hoes, granny’s that like young men, scam artists, ugly men, perverts, boujie ghetto people and thugs well then this is the place for you.",skout,,,,1.0,0.6764563447680798
3,"All there is, is 20 year old men that are perverted and are horny and always wants girls kiks... Well I'm an 11 year old girl and one guy was nice in a minute, and when he came on my kik he was nasty😝!!  Sooo what I'm trying to say is... PLZ BLOCK THE PERVERTS!!",chat-for-strangers,,,,1.0,0.6693849413118433
1,I just want to say that all these guys downloading this or reviewing just to get girls to send nudes are asking to be trolled.,chat-for-strangers,,,,1.0,0.6572486782831706
5,Good site but the guys only want 1 of 3 things 1. Nudes 2. Sex 3. To meet up with u. Don't like that u can put a range of how young the guy can be or how old.,skout,,,,1.0,0.6563779047467666
1,All you talk to on here is disgusting creeps wanting nude pictures of you!!,skout,,,,1.0,0.6450983552140839
1,"The app is old men on there, guys harass you, they treat women on there like we want sex and they say they’ll pay you for sex smh. This app needs to be shut down a lot of creepy old guys and some creepy young guys. They don’t read your profile they just harass you over and over again. The women ain’t perfect too. They need to fix it..",skout,,,,1.0,0.6352642856309987
5,Ily guys,holla,,,,1.0,0.6286737902753576
5,"Cute guys, hot bodies",skout,,,,1.0,0.6286737902753576
5,Awesome app guys,chat-for-strangers,,,,1.0,0.6286737902753576
5,Hey guys,skout,,,,1.0,0.6286737902753576
5,I promise u guys,holla,,,,1.0,0.6286737902753576
2,H8 u guys,chat-for-strangers,,,,1.0,0.6286737902753576
4,It's a really good app but some of the guys on here are pigs and want nothing but nudes,skout,,,,1.0,0.609243774153597
1,People on here can sometimes be rude and the guys are just idiots. Being a guy that is saying something. Both guys and girls on this app ask for nudes. It's kind of annoying.,skout,,,,1.0,0.6077722378313994
1,This app just gets u a bunch if perverts asking or sending nude pics it's disgusting I would not recommend it I deleted mine in less than 24 hours,chat-for-strangers,,,,1.0,0.6068506110408054
3,"Gils, if you're not horny, Don't even bother getting this app, because you'll get a guy to talk to, but he's gonna want nudes eventually..",chat-for-strangers,,,,1.0,0.601882447752798
5,This is a good app u can meet alot of people but one thing is u have to be careful cuz there r guys asking for nudes,skout,,,,1.0,0.6011365878585475
5,You guys crush it,holla,,,,1.0,0.5987941277249638
5,Thank you guys,skout,,,,1.0,0.5987941277249638
2,Buncha horn dogs (all guys want is sexy pics) and all girls do is show cleavage and their behind),skout,,,,1.0,0.5856534102248792
4,Is there going to be perverts on this because I really don't want perverts!😂😂😂😳😳😳,chat-for-strangers,,,,1.0,0.5821420606767589
1,"There is to many guys that put ""m"" and it pisses everyone off. Filter the word so it changes from m to bugaboo",chat-for-strangers,,,,1.0,0.56805258964377
1,Why is it every guy just wants nude pics,skout,,,,1.0,0.5673282538165219
1,My sister was on this app and she was talking to guys and she’s only 12 and a couple minutes later a guy in a car pulls up and ask them if they want a ride and they said it was the same guy that they talked to on holla. So be very careful pls and thank you,holla,,,,1.0,0.565982420503498
1,"I really like how I can just naturally talk to people whenever I want, but in this app, everybody is horny and wants nudes. It's disgusting. I am a fifteen year old female and every person (that's a guy) is constantly asking for my Kik and then wants to see my face, and then after that, they want nudes. Again, it's disgusting.",chat-for-strangers,,,,1.0,0.5652124596704697
1,All the guys ask is if your a girl,chat-for-strangers,,,,1.0,0.564707107904411
1,all guys are horney it anyooing,chat-for-strangers,,,,1.0,0.5598578259752367
4,I like it but some of the guys on there can be real creeps... Once you filter through them there's actually some great guys on there to talk to... :),skout,,,,1.0,0.5466055687385205
3,It's ok but most of the guys disconnect immediately if ur not a girl which can be annoying if ur a non perverted guy and just want to chat but it's also fun to troll these guys,chat-for-strangers,,,,1.0,0.5446491219411407
3,To many guys on there just just want nudes and crap but over all u meet some cool people,holla,,,,1.0,0.5426348875810318
